"Boyut,Ag?rl?k,Tatl?l?k,Yumu?akl?k,Hasatzaman?,Olgunluk,Asitlik,Quality"
"205.987,-6.805.037,-45.138.717,12.430.773,8.973.428,-30.188.885,81.850.785,Good"
"34.182.987,18.745.919,-31.325.898,1.689.329,17.437.931,16.311.425,14.718.964,Good"
"-7.531.705,-1.191.255,-28.406.324,1.454.155,-12.710.577,23.649.817,-41.901.984,Good"
"24.343.601,-32.900.417,14.574.504,22.773.614,9.249.656,26.934.068,-41.552.343,Good"
"25.145.798,32.224.674,-25.036.376,-23.374.748,-15.744.822,19.231.033,-12.163.699,Good"
"38.595.777,1.729.265,-3.484.964,41.034.956,34.626.808,1.342.611,2.047.605,Good"
"2.657.351,-15.500.188,-1.510.986,17.987.539,1.904.299,32.426.388,-4.170.764,Good"
"13.909.897,-7.575.811,-20.420.268,31.837.976,4.090.218,24.980.683,-3.946.564,Good"
"33.936.753,-4.531.796,-31.534.538,-48.996.827,3.441.494,-20.465.703,28.221.097,Good"
"18.247.561,4.593.008,-4.556.667,9.738.992,27.801.192,-23.233.006,12.636.302,Good"
"20.996.506,-2.789.003,-7.723.784,8.058.049,21.738.071,30.630.424,-7.781.441,Good"
"-10.418.428,-5.871.976,-9.055.248,51.990.395,7.174.127,24.441.226,-3.465.786,Good"
"38.272.989,-22.010.572,-3.001.516,7.136.674,4.979.282,15.680.467,7.325.392,Good"
"23.435.829,-79.866.755,-4.452.871,-8.641.088,19.256.656,-19.971.539,79.253.304,Good"
"-14.458.051,-5.901.258,634.504,-9.583.136,27.056.413,38.970.637,-31.551.898,Good"
"7.406.056,12.561.446,-42.744.613,14.430.614,4.693.924,-25.544.887,38.578.303,Good"
"366.878,-96.842.813,-19.908.562,-68.484.175,941.075,7.545.957,-98.310.244,Good"
"61.663.705,-7.562.954,-38.341.498,25.068.786,3.244.349,-312.259,49.226.162,Good"
"39.698.224,-57.842.606,-28.342.137,57.648.677,-12.520.804,7.501.109,-31.691.262,Good"
"26.792.457,-20.595.846,-2.093.491,-13.746.101,15.986.811,12.144.853,-71.149.296,Good"
"29.188.695,-17.870.125,-9.672.109,28.924.866,12.716.018,29.015.503,-28.340.242,Good"
"19.805.343,-21.169.423,-20.304.184,25.894.938,9.164.655,68.681.484,-14.016.931,Good"
"17.628.756,-27.838.397,45.785.612,12.771.482,10.193.286,276.514,-30.931.454,Good"
"24.840.226,-937.044,15.957.366,60.973.425,-10.830.712,41.872.506,-5.529.026,Good"
"33.173.993,21.189.545,-1.481.012,30.583.076,3.442.642,57.135.236,12.346.606,Good"
"-3.310.797,-22.194.211,-8.598.385,13.171.678,38.569.753,42.666.355,-19.517.115,Good"
"622.592,-26.834.435,25.941.141,29.225.852,37.717.113,19.430.099,-7.090.223,Good"
"12.413.609,-82.780.935,-16.480.638,23.831.003,2.154.098,12.204.633,-24.266.775,Good"
"45.325.155,-21.513.052,-2.241.482,67.594.856,11.940.074,57.214.147,1.841.845,Good"
"12.935.979,-15.290.117,-56.870.455,29.980.538,21.404.152,12.430.806,-17.709.332,Good"
"-95.766.306,-4.336.032,65.519.315,24.570.138,-22.339.435,35.270.667,-7.060.673,Good"
"22.345.698,9.466.059,-23.834.865,37.792.025,31.448.474,-14.102.143,6.598.816,Good"
"-10.885.757,-10.805.138,-1.484.271,40.915.728,84.550.023,9.148.807,-3.853.516,Good"
"5.063.178,-31.245.291,-20.550.623,-21.439.607,-24.676.853,33.685.968,-23.554.413,Good"
"73.468.876,-2.695.596,44.801.638,3.8331,31.649.435,18.509.841,-2.145.224,Good"
"32.111.118,-48.426.452,-2.051.148,-18.923.013,2.905.391,-21.124.078,15.524.079,Good"
"28.957.446,-41.558.223,-16.954.403,-83.552.426,22.267.494,28.781.838,-1.581.261,Good"
"64.556.885,-20.641.177,8.481.095,25.104.384,37.855.974,24.211.225,-59.027.705,Good"
"2.175.473,-1.878.449,-12.024.661,35.423.315,24.938.722,2.104.819,-13.712.244,Good"
"20.310.621,13.769.804,-3.024.991,37.988.386,14.113.015,32.914.266,-52.109.414,Good"
"-12.410.414,-17.334.325,68.297.625,4.999.766,9.603.264,29.607.716,-35.875.335,Good"
"2.627.688,-18.287.287,-15.005.559,18.087.485,4.059.145,28.109.539,-37.463.608,Good"
"32.990.355,5.370.355,-33.018.785,10.880.108,31.324.416,12.246.928,-22.030.175,Good"
"209.266,-9.127.571,-69.095.534,21.442.997,28.543.956,26.658.506,-89.385.694,Good"
"6.379.353,-9.915.881,-322.016,36.065.986,3.041.145,9.276.494,9.365.087,Good"
"1.769.241,-10.057.654,-54.429.426,-73.651.695,18.940.548,-22.809.286,26.767.228,Good"
"-23.023.522,-10.931.374,-35.707.333,296.437,28.284.627,-2.141.086,-2.100.682,Good"
"-36.437.163,-48.560.147,37.264.365,13.702.561,5.177.361,64.904.613,-5.096.943,Good"
"17.308.077,-18.741.977,-27.470.229,-14.969.267,4.260.194,27.116.992,-28.526.497,Good"
"19.470.652,17.199.102,-32.959.375,25.158.217,37.952.337,18.310.652,15.081.625,Good"
"15.502.614,-13.034.518,-509.611,-85.788.655,8.838.179,-26.446.886,-11.183.886,Good"
"3.286.235,-9.695.395,-76.372.445,32.058.492,-5.023.679,14.488.963,-3.359.148,Good"
"70.790.493,-10.911.381,-33.255.796,-95.956.266,11.438.731,5.092.674,-13.235.265,Good"
"-34.949.427,-45.985.365,16.622.683,4.222.533,-17.011.503,70.618.997,-8.216.378,Good"
"26.705.434,-21.120.319,-3.587.101,28.133.142,-7.204.721,22.934.406,-8.406.563,Good"
"-5.116.375,-3.432.093,-21.392.312,12.230.868,3.105.893,43.326.154,-10.621.076,Good"
"3.511.781,-11.062.305,-19.963.545,18.726.135,-21.559.688,1.882.818,-10.591.043,Good"
"-6.355.839,-28.373.444,-10.600.098,4.506.894,21.226.556,44.043.016,-12.047.546,Good"
"-7.848.473,-40.763.144,72.762.847,4.067.616,11.208.833,4.290.746,-424.043,Good"
"23.643.756,-41.128.746,-193.138,-11.048.424,16.834.695,-39.438.075,-21.221.688,Good"
"-41.611.052,-34.003.183,-17.734.447,26.491.864,1.520.701,71.722.955,-21.152.153,Good"
"24.214.256,-3.686.226,-22.777.312,941.673,31.924.849,-16.536.707,-31.404.024,Good"
"18.533.305,47.979.257,-14.319.915,26.237.402,11.844.728,-14.240.938,-38.060.898,Good"
"1.092.624,-58.124.113,-20.779.953,14.043.045,2.448.518,-12.352.877,-4.705.515,Good"
"22.879.598,-1.970.452,-22.288.237,-131.277,3.296.453,55.928.665,-25.400.126,Good"
"-22.265.496,-41.346.774,-14.540.067,5.386.055,-1.298.608,43.146.048,-4.367.402,Good"
"4.554.233,-7.728.942,-10.091.155,10.170.324,16.017.929,9.034.818,34.592.804,Good"
"45.698.535,-10.637.562,-18.183.856,23.212.562,-64.481.324,22.431.242,-15.461.222,Good"
"45.471.463,-16.000.161,-11.343.479,20.349.133,11.304.961,1.293.811,-22.354.283,Good"
"222.302,-33.170.984,-6.811.905,-5.075.472,-58.485.156,22.133.489,-4.382.209,Good"
"18.171.252,-32.850.653,-2.806.841,-5.686.542,41.833.663,-25.292.196,33.596.823,Good"
"10.920.148,-16.983.504,-19.144.697,-49.525.547,18.576.916,24.275.842,-14.264.631,Good"
"41.671.805,12.390.346,-26.973.057,14.395.598,14.335.198,-10.328.203,-19.950.969,Good"
"4.260.832,-14.474.401,21.657.443,25.449.135,25.025.606,19.110.519,-4.277.624,Good"
"3.427.208,-1.310.614,-5.975.622,2.041.149,36.109.068,23.381.317,13.351.488,Good"
"3.225.954,-27.133.222,6.383.676,4.822.777,15.037.451,34.350.514,-38.607.018,Good"
"1.262.339,-22.831.233,-25.166.066,2.725.561,2.575.003,20.464.995,-14.967.549,Good"
"8.225.375,-191.773,-15.876.294,26.799.603,17.969.826,22.811.513,-20.784.335,Good"
"36.551.855,87.172.467,-31.854.155,-22.555.228,28.146.963,-62.778.884,25.307.095,Good"
"4.887.771,-6.941.139,-4.582.369,22.663.589,17.483.411,188.659,-3.217.169,Good"
"5.167.331,-5.069.979,44.546,34.433.079,10.761.864,20.936.763,-25.066.986,Good"
"25.102.365,-82.597.214,5.119.205,39.944.367,10.698.525,35.936.751,-19.094.344,Good"
"9.737.939,-25.504.675,2.631.564,37.087.297,8.862.611,4.121.955,-39.647.284,Good"
"4.094.308,-21.225.418,-4.336.662,-20.553.539,8.840.259,33.119.577,20.538.628,Good"
"-4.000.384,-15.295.678,-11.740.234,16.838.075,17.358.143,26.099.555,-2.219.745,Good"
"14.295.375,-40.830.564,10.191.281,95.094.854,23.467.834,42.291.784,-4.307.745,Good"
"-44.299.838,-36.269.975,8.963.491,5.277.277,58.242.653,29.509.947,-5.840.014,Good"
"14.361.856,-27.852.535,-10.684.842,2.862.984,21.718.924,15.923.413,-15.205.065,Good"
"-49.011.734,-14.524.939,37.046.087,27.446.527,-1.791.028,20.819.793,-48.976.536,Good"
"25.569.038,-9.407.083,-1.335.047,18.611.537,-2.207.177,14.013.226,-20.717.285,Good"
"10.662.993,-9.593.729,-15.818.366,15.211.104,8.246.992,775.029,-20.246.277,Good"
"35.048.463,-27.802.331,-80.868.816,-15.839.907,257.901,10.355.517,6.043.298,Good"
"23.385.878,-28.660.455,-69.987.714,1.968.346,-9.167.787,30.457.034,-37.685.373,Good"
"31.645.414,-6.902.643,-31.694.336,15.362.326,-33.305.416,24.294.686,-30.109.525,Good"
"3.779.321,-18.386.034,-5.681.763,26.745.567,27.054.796,275.169,-6.541.815,Good"
"-3.152.318,-44.710.455,22.770.205,75.536.716,34.019.947,31.474.178,-4.118.241,Good"
"10.568.947,6.607.925,-24.762.306,2.378.693,21.854.346,46.330.336,-169.903,Good"
"15.151.366,-14.171.375,-2.247.217,10.418.797,-6.650.587,45.610.924,-754.548,Good"
"41.578.903,26.855.305,-49.795.885,-29.438.882,12.557.757,-33.695.943,19.842.093,Good"
"2.871.681,-1.482.003,-15.095.811,30.342.424,14.997.326,-29.482.174,-35.067.897,Good"
"4.283.843,-3.471.834,30.958.524,16.731.088,27.642.918,37.775.552,43.785.277,Good"
"21.266.909,-14.775.121,-3.065.945,7.796.823,41.359.706,-11.796.045,13.538.256,Good"
"16.850.781,-38.410.783,21.125.188,33.954.284,17.902.676,56.750.393,-4.961.819,Good"
"14.203.782,-47.624.278,-2.044.791,33.282.307,5.597.315,95.537.454,-80.414.635,Good"
"19.146.098,-34.799.292,11.288.735,25.097.728,13.708.631,40.828.795,-39.537.213,Good"
"28.379.872,-7.680.226,-2.406.741,23.074.224,1.493.338,18.562.156,40.684.474,Good"
"22.623.851,7.531.902,-46.005.306,186.151,-517.102,12.820.517,-5.494.086,Good"
"23.549.283,-7.568.732,-2.575.384,86.663.973,16.724.951,12.678.034,-12.463.914,Good"
"17.490.921,8.044.093,-22.782.304,19.258.695,29.510.875,-275.739,13.877.469,Good"
"18.631.399,-64.534.986,-17.183.338,15.747.788,2.310.619,-48.198.274,-48.290.622,Good"
"4.902.018,54.805.243,-1.981.342,18.561.023,29.882.507,32.482.785,13.201.272,Good"
"943.751,21.661.255,-26.684.031,3.728.034,16.101.588,-28.160.378,-7.288.632,Good"
"96.445.066,-37.382.922,-25.037.973,12.058.594,4.914.115,-15.798.932,22.870.784,Good"
"-18.946.912,-5.573.239,1.300.694,-20.897.396,28.700.225,3.616.348,-6.642.881,Good"
"-20.344.625,-75.199.217,-21.076.734,27.816.334,51.200.897,13.507.398,-25.626.007,Good"
"1.536.447,-27.825.754,-15.186.356,12.410.598,2.581.933,25.387.833,-1.026.953,Good"
"-13.831.367,-26.881.588,-36.846.125,17.241.818,-12.785.075,2.623.176,-11.717.787,Good"
"4.176.532,-41.561.556,-35.516.818,-38.269.138,18.941.021,4.192.627,-45.615.777,Good"
"-9.475.809,-14.110.945,-25.261.693,14.849.662,30.952.137,14.347.723,-55.451.834,Good"
"2.817.971,-13.660.907,-14.598.837,11.982.238,82.041.717,44.175.473,-23.305.526,Good"
"2.062.249,-32.593.682,-10.964.273,25.957.959,-17.176.541,18.038.622,-42.407.856,Good"
"16.974.126,432.518,-23.339.958,25.911.052,51.804.596,16.201.751,-6.294.515,Good"
"21.412.923,-60.555.327,-25.680.053,-51.212.025,9.628.836,-6.918.059,85.023.355,Good"
"14.251.876,-4.284.169,-12.177.833,329.973,-45.183.322,4.193.203,-73.235.494,Good"
"8.645.234,-16.002.674,-49.113.774,19.644.382,22.191.246,3.833.164,-2.854.772,Good"
"4.160.499,11.708.424,-31.560.285,-5.601.379,-37.824.434,-23.020.298,16.935.827,Good"
"-22.759.943,-21.346.147,-75.193.375,34.774.058,38.738.406,34.193.163,-46.396.527,Good"
"39.871.418,8.039.127,-17.338.462,-4.619.131,42.826.495,-42.151.552,23.779.886,Good"
"6.406.759,-23.007.815,-7.740.593,43.002.353,3.809.904,4.751.685,-24.689.705,Good"
"88.489.157,-25.403.574,-17.593.727,-9.517.009,21.390.023,4.614.551,-1.629.279,Good"
"1.481.413,-4.511.001,-33.390.653,-2.787.381,26.123.135,10.272.232,-19.557.654,Good"
"20.629.765,-788.057,-14.711.859,19.942.647,17.926.623,15.917.443,-16.572.291,Good"
"-5.707.855,-32.762.074,17.734.187,552.097,30.410.245,27.407.506,-7.099.977,Good"
"25.274.768,-2.206.724,-11.282.107,178.369,14.160.972,29.887.605,-20.391.123,Good"
"12.315.835,-6.599.154,-74.892.855,35.011.365,56.864.035,23.960.025,-20.665.088,Good"
"26.476.233,-1.226.673,-2.656.628,43.585.258,17.868.184,17.567.434,-28.999.486,Good"
"7.643.351,-3.164.166,-15.035.748,-78.203.374,15.777.785,38.096.008,-9.042.569,Good"
"3.259.904,25.925.222,-27.300.675,76.715.696,5.921.024,-13.870.631,-6.782.876,Good"
"16.687.725,-4.237.546,59.629.786,34.256.635,28.411.562,15.566.843,-9.660.278,Good"
"37.454.276,-44.255.185,6.105.194,26.741.414,13.642.771,26.242.316,-16.303.462,Good"
"-18.542.459,-19.129.142,-12.024.126,8.168.059,-49.320.027,19.691.738,-23.009.748,Good"
"25.373.056,-21.762.195,-23.115.042,9.343.426,23.298.943,20.493.402,-147.082,Good"
"-9.121.722,-28.685.453,-10.587.187,-36.501.768,14.857.948,4.479.877,-2.867.231,Good"
"-14.597.558,-21.232.033,-16.204.531,42.667.356,7.600.868,30.292.664,-12.398.953,Good"
"79.644.424,-23.585.312,-6.516.624,19.438.885,15.741.303,20.954.478,-10.089.022,Good"
"46.306.252,-26.187.613,19.857.623,-689.894,-13.717.338,29.612.355,-51.491.375,Good"
"7.823.795,-45.836.392,-33.904.126,-2.358.269,16.528.559,-10.675.778,96.616.626,Good"
"9.501.176,-13.591.073,-15.962.844,-29.565.773,24.236.822,-6.483.625,-30.848.005,Good"
"4.304.307,68.787.366,-2.366.258,27.208.443,27.651.403,49.005.288,2.577.809,Good"
"19.645.611,-20.483.043,6.691.041,44.677.043,-16.652.919,34.372.885,-52.146.826,Good"
"14.113.878,-17.596.895,-13.879.524,1.428.798,27.032.623,38.651.104,-22.689.304,Good"
"4.468.235,-11.246.682,-51.890.117,14.199.169,4.711.023,6.944.134,41.224.438,Good"
"12.101.194,-14.388.002,-36.560.166,13.567.328,38.754.624,3.614.002,19.061.936,Good"
"36.869.068,-20.875.483,-15.685.043,-47.442.594,27.994.132,3.424.096,44.842.973,Good"
"8.232.747,-10.690.536,-7.853.254,17.403.796,-6.547.586,34.056.683,-3.737.373,Good"
"25.066.817,-23.537.655,-11.494.482,11.675.587,-76.877.886,35.297.139,-27.357.314,Good"
"40.744.042,-12.623.214,-16.897.354,15.757.473,32.228.808,40.355.325,10.860.388,Good"
"20.449.436,-3.987.189,-15.208.039,16.812.896,-9.138.724,13.078.964,-22.977.066,Good"
"621.834,99.743.885,-39.494.522,18.297.846,9.042.935,-26.961.306,2.134.757,Good"
"24.383.311,-29.178.126,-24.622.199,4.642.839,18.461.928,44.645.696,-19.575.542,Good"
"25.369.828,-2.190.556,-12.526.208,-9.416.341,-18.588.129,24.334.657,-20.333.307,Good"
"86.362.064,-7.448.213,-21.283.438,15.904.036,11.634.172,71.181.977,-16.700.368,Good"
"1.663.674,-38.293.052,-20.262.787,7.028.002,-73.173.267,40.725.067,-23.677.845,Good"
"22.130.454,-35.136.867,-18.628.944,12.444.224,39.388.695,19.178.177,24.000.688,Good"
"-43.650.694,-97.608.286,-21.394.317,17.284.642,15.348.369,18.275.679,60.935.793,Good"
"35.827.885,-605.661,-7.097.373,17.600.907,32.252.533,30.873.033,-54.131.234,Good"
"46.091.384,-26.795.516,-21.399.689,-26.907.468,-20.684.192,33.480.043,-4.908.425,Good"
"17.008.514,-11.143.174,-10.899.804,4.117.547,4.591.659,31.448.844,9.777.528,Good"
"2.737.262,-18.590.508,-16.937.579,5.420.633,28.588.533,9.787.391,-61.698.186,Good"
"15.299.175,-31.081.364,-18.952.827,-6.508.833,18.361.357,15.922.719,-186.973,Good"
"14.064.045,-78.891.796,5.536.528,36.741.025,-12.652.832,34.922.693,-28.435.335,Good"
"26.936.707,8.641.378,-38.716.073,-11.224.236,-46.563.312,-11.650.542,-12.695.701,Good"
"19.946.063,-15.075.927,-2.033.548,812.946,21.295.636,12.595.998,1.320.674,Good"
"17.856.681,-16.765.281,-93.591.064,6.743.373,23.507.555,15.295.628,-8.951.408,Good"
"2.416.805,-50.361.055,-17.116.188,14.140.621,5.041.088,20.266.786,4.380.233,Good"
"43.273.644,-12.783.407,-10.392.907,26.022.756,33.800.328,9.583.852,4.013.387,Good"
"19.153.339,-23.278.632,-57.658.595,17.748.041,701.459,18.083.755,-2.697.617,Good"
"17.440.295,-17.265.277,-44.064.245,10.701.191,95.420.706,15.569.139,-22.331.412,Good"
"1.455.482,-7.081.654,-7.946.654,34.091.995,20.176.656,29.631.507,-19.481.088,Good"
"13.372.005,-11.479.636,-3.537.203,-1.274.295,29.132.764,-9.568.104,12.153.172,Good"
"-48.289.874,-19.724.995,-59.738.606,1.594.311,18.575.395,33.235.977,-25.862.143,Good"
"22.506.032,-45.288.008,-30.537.283,3.966.469,16.843.379,38.168.943,-29.974.096,Good"
"30.967.197,-7.434.213,-1.765.267,15.176.924,19.675.915,21.502.523,-17.102.468,Good"
"34.519.467,-1.890.007,-70.653.373,1.066.098,13.353.946,15.726.658,-6.774.824,Good"
"10.836.694,-13.297.471,-15.310.853,-12.152.589,1.678.822,9.666.958,-1.981.874,Good"
"4.597.079,47.330.022,-23.219.652,50.650.276,18.897.921,972.627,23.760.417,Good"
"26.633.077,-99.300.325,-5.629.204,35.203.273,34.751.778,26.248.136,28.932.345,Good"
"9.884.341,-24.780.293,-23.403.119,50.072,13.765.179,18.019.105,-41.455.293,Good"
"9.390.267,-42.959.926,-19.438.409,3.401.932,56.441.355,414.704,-1.612.387,Good"
"12.576.364,-12.193.375,-2.083.377,2.412.507,-34.827.033,11.168.078,-29.296.885,Good"
"17.673.453,1.337.489,-11.697.435,2.380.854,26.082.785,56.319.986,-18.133.599,Good"
"36.930.685,-18.870.065,-12.540.766,-8.271.056,-5.016.996,22.513.204,-20.974.932,Good"
"21.080.723,15.480.249,-33.271.408,12.917.181,14.208.286,-18.483.018,6.911.822,Good"
"2.557.053,91.598.374,-2.531.051,21.697.807,-29.387,11.005.322,-35.639.483,Good"
"19.707.134,-27.056.348,-10.676.183,-16.611.222,8.069.841,2.505.456,-26.441.214,Bad"
"496.296,-11.668.677,-21.887.596,-9.080.322,89.241.254,33.509.254,-1.005.008,Good"
"89.791.447,-15.217.988,-14.639.598,1.275.887,9.149.716,22.093.136,-21.636.484,Good"
"19.643.832,-79.304.266,-31.380.064,-6.405.963,30.579.153,-99.606.144,18.671.389,Good"
"-18.807.575,-22.287.648,-1.090.246,2.371.013,96.710.265,38.859.286,-31.241.329,Good"
"-51.740.605,-1.595.637,-1.906.966,30.591.788,29.224.298,9.640.126,-9.432.328,Good"
"10.778.382,-2.800.618,-93.377.537,5.305.642,5.688.287,19.782.522,-49.043.703,Good"
"28.138.385,-14.007.282,-13.073.316,21.556.473,2.864.047,11.383.313,709.193,Good"
"11.692.566,7.190.667,-26.677.437,27.978.163,20.391.498,48.225.664,12.754.014,Good"
"-17.222.955,-3.121.074,-17.303.873,1.105.901,13.755.852,31.194.375,-3.012.179,Good"
"-22.017.707,-35.110.598,-7.463.761,38.051.078,15.271.015,3.792.734,-36.188.776,Good"
"3.973.193,-16.992.267,-13.736.488,-6.943.252,4.726.047,2.614.654,-14.152.708,Good"
"26.855.233,-6.047.168,-17.922.523,16.716.946,25.263.042,-13.336.884,28.197.026,Good"
"15.929.568,-18.876.947,-2.828.967,24.541.466,49.636.836,8.041.778,27.593.393,Good"
"27.484.555,4.661.816,-27.020.776,78.621.954,27.456.653,52.733.284,21.652.002,Good"
"18.748.386,-12.553.465,-37.296.154,10.496.686,17.816.186,14.035.814,10.056.595,Good"
"14.748.052,-16.581.336,-19.885.793,38.505.874,9.280.968,4.592.798,-699.772,Good"
"19.647.177,7.593.218,-2.179.656,4.712.393,10.299.025,13.070.323,-27.112.585,Good"
"2.761.867,-692.662,-12.804.267,-6.346.006,49.225.416,32.092.032,12.180.238,Good"
"24.159.212,-8.057.864,-23.904.192,14.746.132,27.172.117,-55.095.905,-8.721.677,Good"
"6.314.472,-17.830.101,-10.630.653,18.529.776,23.207.648,2.242.925,-27.546.465,Good"
"10.961.015,-26.909.723,108.761.854,36.823.652,24.272.303,19.622.251,-52.301.507,Good"
"12.233.404,-378.244,-16.939.856,21.896.528,3.261.648,25.946.739,4.213.425,Good"
"15.933.567,-31.080.256,-95.038.635,-18.946.851,16.716.208,22.084.575,-12.602.614,Good"
"-7.041.272,-37.361.066,270.186,3.680.461,-113.534.026,45.896.964,-8.113.074,Good"
"24.141.564,-25.868.025,-17.928.394,25.205.085,11.831.659,1.910.455,-27.409.081,Good"
"30.406.044,-21.391.938,6.768.853,5.803.231,34.550.512,11.531.514,-9.915.061,Good"
"27.545.986,-3.189.664,-2.908.995,7.986.053,-6.619.968,11.172.617,-8.744.374,Good"
"24.302.819,-23.418.608,-13.770.009,3.165.071,-7.028.287,35.242.656,-25.335.267,Good"
"40.273.056,-56.484.587,-35.241.227,71.258.265,18.065.318,-42.356.372,14.387.014,Good"
"-11.283.607,-37.875.144,6.527.222,25.191.305,1.842.622,62.285.266,-33.885.272,Good"
"3.815.967,-36.151.962,-4.467.442,53.559.166,7.466.617,2.710.171,-3.979.587,Good"
"39.069.414,22.317.621,-35.991.714,-17.936.865,13.583.187,5.593.001,6.746.297,Good"
"18.286.102,-51.861.984,-4.264.114,4.457.397,20.726.917,25.121.586,-10.331.908,Good"
"76.214.147,-78.509.444,-33.323.997,4.858.479,39.429.078,1.386.218,-6.596.831,Good"
"29.404.604,-12.339.854,-13.722.203,13.490.722,9.082.133,57.614.714,-26.160.116,Good"
"2.631.285,-18.116.466,-29.825.993,4.935.526,43.735.876,33.508.188,1.423.126,Good"
"35.935.214,-3.008.333,-14.540.871,15.170.819,20.312.824,-6.773.061,16.272.227,Good"
"4.158.122,-6.505.491,-211.861,16.704.673,16.016.526,20.128.899,14.396.124,Good"
"1.718.434,1.618.979,-33.946.574,41.934.943,26.062.503,14.527.056,14.782.445,Good"
"13.679.569,-36.847.365,-111.791,10.205.201,-19.789.908,4.199.245,-5.197.502,Good"
"13.914.927,-21.550.712,-5.178.088,1.914.262,20.045.769,5.582.774,11.026.848,Good"
"3.717.106,-15.157.741,-15.094.488,-22.225.714,26.695.454,8.321.338,-17.585.172,Good"
"15.643.317,-18.633.341,-28.370.037,-9.827.958,41.712.046,12.574.049,5.819.399,Good"
"26.831.908,89.186.534,-92.797.446,33.357.697,20.485.244,-32.742.658,-48.481.822,Good"
"16.615.746,-6.715.938,-19.615.589,19.564.097,13.516.303,-18.803.355,-26.968.043,Good"
"11.500.733,-10.252.141,-1.677.728,29.859.474,13.895.442,78.319.126,-20.543.914,Good"
"-18.498.734,-60.851.684,12.218.757,95.097.667,20.656.757,34.547.882,-45.509,Good"
"6.345.336,-10.247.383,-11.972.418,36.132.433,25.814.905,32.829.165,47.799.894,Good"
"1.797.484,32.574.654,-16.689.818,29.694.471,40.996.984,-34.467.962,-18.569.794,Good"
"40.242.343,-31.918.646,-3.189.874,10.903.267,37.671.585,-8.752.105,28.746.483,Good"
"5.619.147,-37.986.696,-25.011.384,73.220.855,19.402.825,14.929.507,-6.836.894,Good"
"63.168.263,-17.530.934,-1.985.784,72.003.466,16.079.214,1.275.533,-20.255.578,Good"
"13.411.211,-4.575.724,-16.865.431,6.117.383,-17.551.322,25.888.908,-41.522.284,Good"
"4.318.056,102.414.064,-14.128.348,20.423.555,24.946.184,8.618.903,62.156.852,Good"
"33.310.132,-9.310.329,-27.037.117,7.824.906,18.570.307,-32.555.288,89.367.735,Good"
"-48.977.745,-2.063.234,-12.836.955,36.148.167,20.354.319,3.236.988,-14.665.493,Good"
"29.282.072,-10.019.348,-19.514.672,2.199.078,14.181.609,2.586.822,-21.851.163,Good"
"21.415.105,-32.395.957,5.865.256,21.903.806,28.186.677,19.010.966,-24.299.138,Good"
"-3.781.192,-44.010.606,13.365.613,4.533.573,-38.213.962,48.933.973,-6.391.747,Good"
"3.459.749,-2.054.977,-6.899.603,12.931.721,15.099.264,24.832.165,-8.940.847,Good"
"18.344.167,-4.780.675,-29.093.406,-20.453.908,-35.089.242,31.582.677,-45.611.486,Good"
"53.367.895,-1.207.644,-32.544.386,-28.505.251,40.685.368,23.453.589,21.834.955,Good"
"-18.880.145,6.121.869,-46.908.946,28.870.995,22.074.172,-23.069.419,2.781.855,Good"
"36.430.633,-19.003.161,8.865.491,32.169.404,-35.780.627,38.691.862,-24.978.435,Good"
"-67.251.635,-16.026.131,-3.306.974,24.321.316,16.845.345,18.553.482,-7.877.729,Good"
"53.866.528,-14.907.563,-15.561.253,10.743.977,11.110.992,34.923.146,-10.588.241,Good"
"27.348.747,-11.268.228,-14.545.513,2.386.932,11.675.586,-5.874.551,-75.134.754,Good"
"36.548.753,-6.104.648,-26.865.385,28.030.336,-10.629.028,14.272.271,-23.545.573,Good"
"29.636.517,5.208.603,-29.532.685,54.753.345,-15.571.839,11.019.902,-9.385.025,Good"
"17.889.549,-1.719.797,-71.719.843,51.911.885,16.454.737,28.475.957,-17.785.189,Good"
"7.979.185,-22.641.249,47.396.985,22.007.363,89.615.804,410.383,-3.367.687,Good"
"29.061.334,-14.177.662,-6.787.961,-873.482,28.516.119,19.625.992,17.034.925,Good"
"-96.809.816,-4.039.365,13.312.867,40.242.257,5.162.402,56.016.707,-58.974.953,Good"
"2.341.533,-2.216.641,-18.664.656,20.049.965,669.852,49.106.303,-20.419.598,Good"
"2.375.418,-2.152.016,-37.139.475,12.548.541,19.185.686,5.408.615,-19.726.212,Good"
"18.651.671,-2.758.832,-2.112.743,21.257.744,22.625.352,20.911.899,-17.894.073,Good"
"2.000.098,25.873.768,-21.504.722,19.880.581,19.683.709,-6.806.567,27.319.318,Good"
"60.942.135,57.915.514,-23.096.497,-3.012.908,2.882.104,-18.578.318,-37.926.877,Good"
"-3.132.854,-1.583.575,-13.766.055,-39.045.417,2.260.511,13.995.026,532.255,Good"
"1.867.885,-8.866.019,-5.819.761,4.675.308,31.089.976,16.688.366,-25.561.842,Good"
"16.317.823,-19.073.532,-10.598.752,-15.485.879,9.244.147,26.580.293,-35.740.173,Good"
"-14.993.426,-5.745.932,-3.262.362,55.455.136,2.482.202,-95.872.414,-19.420.637,Good"
"15.600.417,-22.282.324,-13.342.515,5.136.349,-15.549.636,27.144.432,-35.279.295,Good"
"-25.681.147,-13.316.511,-25.279.803,30.367.315,-25.942.865,22.417.903,-3.739.639,Good"
"-8.560.413,-838.984,-16.578.075,-11.084.211,30.585.535,22.591.238,-40.586.165,Good"
